Startup,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Maturity,Founded,Country,Industry,Inc. Radar,Competitor,Competitor Category,Acquisition Cost (US$),Activity/Acquisition Time
Hydroleap,https://www.hydroleap.com/,"Hydroleap provides a chemical-free, cost-effective, and environmentally-friendly solution for wastewater treatment by replacing chemicals with electricity. Dr. Moh received his PhD from the National University of Singapore in environmental engineering specializing in using electrochemical methods for the treatment of wastewater and contaminated-soil. Hydroleap’s solution of using electricity to treat the water is overall 3X cheaper and 2X smaller than incumbent technologies. Hydroleap has now successfully progressed from lab to full-blown commercialization. With this new round, the company plans to take its proprietary technology to industrial parks, mining, palm oil and semiconductor industries by removing suspended solids, heavy metals, hardness and COD from their wastewater.",Seed,"1,900,000",Local Resources,Emerging,2016,Singapore,Mining,TRUE,,,,
Zero Mass Water,https://www.zeromasswater.com/,"Zero Mass Water that pulls moisture from the air to create drinkable water. The system is eco-friendly, using solar powered “hydropanels”. The hydro panel is composed of a normal solar panel with two hydropanels — one that generates heat, and one that absorbs moisture from the air. With no piped or electrical input, SOURCE Water is off-grid. SOURCE makes water below 10% relative humidity, unlike other water-from-air products. Modular by design, SOURCE arrays can scale up to meet any drinking water demand. Pure liquid water pulled straight from the air and
monitored remotely for quality and production. Users can either purchase the panels and system or pay-per-volume via serivce model.",Undisclosed,"24,500,000",Local Resources,Distant,2014,USA,Alternative,TRUE,,,,
Banyan Water,"
www.banyanwater.com","Banyan Water has produced an analytics engine that provides insight into water costs, use, trends, and anomalies for clients in industries ranging from Fortune 500 companies to school campuses. It offers four solutions: Water tracking and analysis software, managed irrigation services, indoor water tracking and leak detection, optimised cooling tower water use. ",Undisclosed,"4,400,000",Local Resources,Existing,2011,USA,Alternative,TRUE,,,,
Smart Energy Water,https://www.smartenergywater.com/,"Smart Energy Water, a Los Angeles area startup founded in 2012, uses machine learning to optimize both water and energy operations for smart cities. It offers products for both consumers and employees. The latter, for instance, helps workers in the field to manage scheduling and reporting tasks on a mobile platform.",Undisclosed,,Local Resources,Existing,2012,,Alternative,TRUE,,,,
Emagin,"
emagin.ca/
","EMAGIN provides water and wastewater facilities with an operational intelligence platform that supports real-time decision making when controlling critical assets. In doing so, we’re helping facilities drive down operational costs, enhance reliability and prepare for emergencies.

AI platform for optimizing water management, specializing in utilities, food and beverage, pulp and paper, and chemical production plants, among others.",Seed,"2,200,000",Local Resources,Existing,2017,Canada,Alternative,TRUE,,,,
FlowWorks,http://www.flowworks.com/,"FlowWorks is a web platform for gathering, managing and understanding all forms of environmental monitoring data such as, water, wastewater, rainfall, climate, streamflow, etc. FlowWorks contains a powerful suite of data collection, monitoring, analysis, and reporting tools, enabling you to efficiently manage all your monitoring systems through a single web interface. The FlowWorks platform significantly improves your ability to collect and transform raw data into actionable information. Because FlowWorks consolidates data from any source, you can perform real-time analysis, set alarms and create reports accessible from any web browser. The power of FlowWorks.",Undisclosed,,Local Resources,Existing,2010,USA,Mining,TRUE,,,,
Saltworks,http://www.saltworkstech.com/,"Saltworks Technologies treats the toughest waters. We deliver innovative solutions that make clean water, concentrate brine, and achieve zero liquid discharge (ZLD). With plants sold worldwide and repeat orders from major international customers, Saltworks has an established history of designing, building, and operating full-scale water treatment systems. Saltworks is focused on treating water used for industrial purposes, such as mining or fracking. Just this month, the 11-year-old company commissioned a first-of-its-kind plant with new membrane technology for “supercharged” reverse osmosis. ",Seed,"5,400,000",Local Resources,Distant,2008,USA,Mining,TRUE,,,,
AquaRobur,https://www.aquarobur.se/#home_anchor,"In most countries, 20-25% of the fresh water produced is lost due to leakages in the pipelines. Aqua Robur Technologies develops a technology, which measures and collects data in order to find leakages and deficient water quality in public water pipelines. The technology brings a new level of autonomy thanks the integrated hydro-based power supply and the wireless, state-of-art LoRa communication functionality. Decentralized measurement is gaining increased recognition in the industry in order to fight leakages and deficient water quality in real time. Aqua Robur's ambition is to boost the mass adoption of sensors in the network. Their self-powered IoT device for monitoring water pipelines uses kinetic energy flowing through the pipe to generate electricity. That helps to connect pipelines in remote areas like the Amazon. ",Seed,"800,000",Local Resources,Distant,2015,Sweden,Alternative,TRUE,,,,
EasyHydro,https://easyhydrosolutions.com/,"20-25% Energy Recovery from mines. The mining sector and process industry need vast quantities of electricity with large associated CO2 emissions. At the same time, their internal water networks have locations in which an excessive pressure builds up and therefore needs to be dissipated by means of throttling/control/pressure reducing valves. Instead, small-scale and modular hydropower turbines which can be installed along existing pipe networks. Such turbines can be placed in a bypass of an existing valve, e.g. pressure reducing valves, control valves, tank inflow regulation valves. The turbine can thus transform the dissipated pressure into usable electricity, with power outputs ranging from a few kilowatts up to hundreds of kilowatts. The type of turbine adopted is reliable and widely tested and consists of standard pumps running in reverse as turbines which only cost a fraction of a conventional custom-made hydro turbine.",Seed,,Local Resources,Distant,,South Korea,Mining,TRUE,,,,
Sansox,www.sansox.fi,SansOx’s commitment is to develop new solutions and innovative applications for water treatment needs worldwide. We provide new technology and applications for different kinds of water. We have dissolved different gases into water that can be used both industrial and potable water purification. This can also be used in plantation and fish farming in order to exceed biological growth. Our products can also separate impurities from different liquids through flotation and centrifugal separation.,Seed,"140,000",Local Resources,Distant,2012,Finland,Mining,TRUE,,,,
Cosmosfenix,cosmosfenix.com,"Separation of fly ash and similar dry powders in 1 to 100 micron ranges. Of the 600 Mt of fly ash produced annually, only 200 Mt are used, mostly unsorted. The remaining 400 Mt are landfilled at large economic and environmental costs. The DPS technology delivers a solution to transform 200 Mt of this landfilled fly ash at least for 50% into valuable concrete fillers that can be marketed profitably. This way Value Ash aims to contribute to a more efficient raw materials sector, by processing landfilled residues into high-value, future-oriented applications.",Seed,,Decarbonisation,Distant,,,Cement,TRUE,,,,
Value Ash Technologies,https://eitrawmaterials.eu/supportedstartups/value-ash-technologies,"Treatment of hazardous fly ashes from incinerators. In Europe, the municipal solid wastes are treated by incineration process which generates millions of tons of fly ashes that are classified as “hazardous” and for this reason must be landfilled. COSMOS Fenix® is a new patented (*) treatment that makes the classification of these ashes as “product” (end of waste) possible and creates an effective alternative to landfill. ",Seed,,Decarbonisation,Distant,,,Cement,TRUE,,,,
Swiim,http://www.swiimsystem.com/home.aspx,"SWIIM uses flow meters and other sensors to gather data that shows farmers just how many gallons of water it really takes to carry out their operations. That leads them to manage water more efficiently. SWIIM System’s patent-pending process allows farmers to help plan, monitor, and verify their crops and water usage. It incorporates farm optimization, water management, the use of instrumentation, and easy-to-use software.",Series B,"10,700,000",Local Resources,Emerging,2009,USA,Alternative,TRUE,,,,
Kritsnam Technologies,http://www.kritsnam.in/,"Kritsnam Technologies is a company in the field of IoT with focus on water resource management solutions. Incubated in SIDBI Innovation and Incubation Centre (SIIC) - IIT Kanpur. Recognized by DIPP as an Official Start-up for Make In India initiative. Kritsnam Technologies has developed a system that uses advanced technology — including sensors, machine learning, AI and IoT — to manage water supplies. The system has the potential to help communities secure sustainable water resources for drinking and farming. Their products include compact and low-power ground sensors that can be widely deployed to gather data from the field. Real-time environmental data is then integrated with decision support systems for automation and timely alerts. ",Seed,,Local Resources,Emerging,,India,Alternative,TRUE,,,,
Solar Foods,solarfoods.fi,"Finnish food-tech company Solar Foods has launched a protein-powder made from CO2. The captured C02 is transformed into a single-cell protein through a natural fermentation process facilitated by electricity and water. The company powers the fermentation process with renewable energy, creating a carbon-negative product. Solar Foods is currently working with the European Space Agency to release Solein globally by 2021 and provide two million meals a year by 2023. Arable land is not needed, nor is unsustainable volumes of water. One kilogram of Solein requires only 10 litres of water, compared to the 2,500 litres needed to create a kilogram of soy.",Undisclosed,"2,800,000",Decarbonisation,Distant,2017,Finland,Alternative,TRUE,,,,
Mine Water Pre-Treatment,http://www.veoliawatertech.com/markets/mining/pre-treatment/,"KEY VEOLIA TECHNOLOGIES FOR PRE-TREATEMENT OF MINE WATER INCLUDE:
Ground water, surface water, grey water
Seawater desalination
Pipeline supply
Process water treatment",Unfunded,,Local Resources,Existing,,India,Mining,TRUE,Veolia,Activity,,
Leach Solution Filtration,http://www.veoliawatertech.com/markets/mining/leach-solution-filtration/,"Effective clarification of silver and gold cyanide leach solutions is critical to the Merrill-Crowe process. Veolia offers filtration technologies to help ensure a higher quality filtrate for better recovery in a reduced footprint. 

KEY VEOLIA TECHNOLOGIES FOR LEACH SOLUTION FILTRATION INCLUDE:
Recovery of precious metals from leach stream",Unfunded,,Local Resources,Existing,,,Mining,TRUE,Veolia,Activity,,
Process Wastewater Treatment,http://www.veoliawatertech.com/markets/mining/process-wastewater-treatment/,"Veolia Water Technologies provides several solutions for mine process wastewater. These include such technologies as clarification/softening, biological processes, as well as thermal evaporation and technologies.

KEY VEOLIA TECHNOLOGIES FOR PROCESS WASTEWATER TREATMENT INCLUDE:
Removal of contaminants: suspended solids, heavy metals, cyanide, arsenic, selenium, iron, manganese, chromium, etc.",Unfunded,,Local Resources,Existing,,USA,Mining,TRUE,Veolia,Activity,,
Tailings Ponds,http://www.veoliawatertech.com/markets/mining/tailings-ponds/,"Veolia Water Technologies specializes in potable water, process water, tailings water reuse and wastewater treatment solutions for all types of mining sites (gold, nickel, copper, uranium, coal, etc.).

KEY VEOLIA TECHNOLOGIES FOR PROCESS WASTEWATER TREATMENT INCLUDE:
Dewatering and drying
Water Recovery and Reuse
Discharge compliance
Positive water balance control",Unfunded,,Local Resources,Existing,,,Mining,TRUE,Veolia,Activity,,
Acid/Alkaline Mine Drainage,http://www.veoliawatertech.com/markets/mining/acid-alkaline-mine-drainage/,"KEY VEOLIA TECHNOLOGIES FOR ACID/ALKALINE MINE DRAINAGE INCLUDE:
Mine water control
Positive water balance control
Ground water reclamation",Unfunded,,Local Resources,Existing,,,Mining,TRUE,Veolia,Activity,,
Solutions Mining / Resource Recovery,http://www.veoliawatertech.com/markets/mining/solution-mining-resource-recovery/,"KEY VEOLIA TECHNOLOGIES FOR SOLUTIONS MINING / RESOURCE RECOVERY INCLUDE:
Product Recovery and Water Reuse
HPD® Evaporation and Crystallization
Mineral precipitation
Ion exchange
Advanced membrane technologies
Liquid-Liquid extraction
Sludge dewatering and drying",Unfunded,,Local Resources,Existing,,,Mining,TRUE,Veolia,Activity,,
Water Services,http://www.veoliawatertech.com/markets/mining/services/,"KEY VEOLIA SERVICES INCLUDE:
Total validated system lifecycle compliance
Service contracts
24/7 service and support infrastructure
Remote monitoring of installations
Local support staff
Spare parts and consumables
Replacement media
Water analysis service
Equipment leasing
Service Deionization
Expansion and modification of treatment plants
Site audits
Mobile and temporary solutions
Water treatment chemicals (HydrexTM Green Chemicals)
Complete water cycle management & outsourcing",Unfunded,,Local Resources,Existing,,USA,Mining,TRUE,Veolia,Activity,,
AQUAVISTA™ Plant,https://www.veoliawatertechnologies.com/en/press/veolia-water-technologies-launches-aquavista-plant-complete-digital-plant-solution-embeds,"AQUAVISTA™ Plant is a holistic digital solution composed of a suite of intelligent software solutions for real-time optimization of process performance. It provides a state-of-the-art auto-pilot to optimize the whole wastewater system, including sewer network and treatment plant. AQUAVISTA™ Plant focuses on real-time automated optimization of the consumption of energy and chemicals, biological and hydraulic capacity enhancement, stable operation and compliance of wastewater treatment plants and sewer networks. It is suitable for small and large municipal and industrial wastewater treatment plants.",Unfunded,,Local Resources,Emerging,2018,,Alternative,TRUE,Veolia,Activity,,
VPX filter,https://www.metso.com/news/2019/6/smart-and-future-ready--metso-introduces-its-new-approach-for-tailings-management-in-mining-with-the-launch-of-the-vpx-filter/,"Metso VPX™ filter, a new generation filtration solution for maximum water recovery and reuse. The Metso VPX™ ﬁlter can handle difficult-to-dewater tailings, because it has up to 25 bars operating pressure, the highest pressure in its category. This enables up to 90% water recovery. The Metso VPX™ is also equipped with a fully electromechanical drive system and no hydraulics, making it the safest solution on the market. With its modular design, the Metso VPX™ filter is scalable as well as easily transportable to the site in standard containers.",Unfunded,,Local Resources,Emerging,2019,Finland,Mining,TRUE,Metso,Activity,,
MHC™ Series hydrocyclones,https://www.metso.com/products/classifiers/hydrocyclones/,"The MHC™ Series hydrocyclones provide accurate and efficient separation of particles by size (mass). Radical manifolds accurately distribute the feed and collect the underflow and overflow from multiple hydrocyclones operating in parallel. Wear-resistant linings are incorporated into the feed distributor producing minimal turbulence for the underflow and overflow launders. The unique conical geometry provides a smooth acceleration of particles to promote a sharp particle separation for a lower cost. Special attention is paid toward safe access for monitoring, sampling and maintaining the MHC™ Series hydrocyclones and manifold components.",Unfunded,,Local Resources,Existing,2016,Finland,Mining,TRUE,Metso,Activity,,
Inclined plate settlers (IPS),https://www.metso.com/products/inclined-plate-settlers/,Metso inclined plate settlers (IPS) focuses on environmental impact and reducing that as much as possible. Avoiding water wastage is one of the key goals and being able to reduce tailings mine waste. With up to 50% less chemicals used in the Metso inclined plate settlers (IPS) will make water recirculation and recovery easier. A smaller foundation and floor space requirement converts into less construction to the environment needed when building the plant. The IPS is easily insultated against heat loss or toxic fume emissions reducing pollution levels. The increasing of compact sedimitation and dewatering allows for safer disposal and less tailings mine waste downstream. ,Unfunded,,Local Resources,Existing,2016,Finland,Mining,TRUE,Metso,Activity,,
Multiflo® dewatering pumps,https://www.global.weir/brands/multiflo/,"Custom built to endure the toughest operating conditions, Multiflo® dewatering products can be used across mining, quarrying, industrial, water transfer and environmental water management applications. Combining ruggedness and flexibility, the range includes skid base and trailer to single, double and triple mounted pontoon pumps and heavy duty barges constructed in a range of materials including steel, MDPE and fiberglass. With diesel, electric or hydraulic driven options, we can create the perfect dewatering configuration to meet your needs.",Unfunded,,Local Resources,Existing,,England,Mining,TRUE,Weir,Activity,,
Warman® Submersible Slurry Pumps,https://www.global.weir/brands/warman/warman-submersible-slurry-pump/,"Warman® submersible pumps are durable in tough conditions across both mine dewatering and slurry applications. Prevent overheating and be alerted to moisture intrusion thanks to the Warman® SHW submersible pump’s array of features, which can be tailored to your specific application for ultimate performance and peace of mind. For trouble free operation and maintenance, try the Warman® SJG range, robust yet reliable in arduous applications. ",Unfunded,,Local Resources,Existing,,England,Mining,TRUE,Weir,Activity,,
Weir Edge™ EDU,https://www.global.weir/newsroom/news-articles/weir-launches-weir-edge-edu/,"A multi-layer learning platform that provides training documents, procedures, guides, tools and more — everything needed to educate field teams and turn them into high-performing maintenance professionals.",Unfunded,,Local Resources,Existing,2019,,Mining,TRUE,Weir,Activity,,
Synertrex®,https://www.global.weir/newsroom/news-articles/weir-minerals-announces-its-innovative-iiot-platform-synertrex/,"Synertrex® is a cutting edge IIoT platform which harnesses the latest digital technology to transform productivity, foresee risk and enhance performance. Utilising cloud computing, it involves placing smart sensors on an array of Weir products which gather critical operating data for advanced analysis. The data is transformed into powerful insights which are relayed to the customer through a digital interface. It can identify problems before they occur, reducing downtime, and optimise equipment performance across an entire circuit. Remote management allows for simplified maintenance. Wear and tear can be easily monitored, and trouble spots detected before they escalate into major issues. Whether it’s a drive system, structural or lubrication issues, Synertrex® provides the tools to keep mining equipment at its most profitable.
",Unfunded,,Optimisation,Emerging,2018,England,Mining,TRUE,Weir,Activity,,
Weir Water Recycling Plant,https://www.global.weir/weir-edge-service-advantage/,"Our SPM® RFID/AMP system gives you full visibility into your inventory to track equipment movements. You get full traceability of the certification process based on your established standards, including maintenance records to ensure compliance, failure modes, inspection records and additional reports.",Unfunded,,Optimisation,Emerging,2019,England,Mining,TRUE,Weir,Activity,,
Outotec Process Water Recycling Plant,www.outotec.com/products/industrial-water-treatment/process-water-recycling-plant/,"The Outotec Process Water Recycling Plant is a fully automated standalone unit that enables recycling of process water by treating the water in a cost-efficient manner. The plant is specifically designed for concentrator plants, which dewater tailings and recycle the water back to the process. It enables undisturbed process performance by treating recycled water and removing accumulated substances to achieve the desired level of quality for the various duty points of the concentration process.",Unfunded,,Local Resources,Emerging,2018,Finland,Mining,TRUE,Outotec,Activity,,
Dry Tailings Plant,www.outotec.com/products/materials-management/dry-tailings-plant/,"The Outotec Dry Tailings Plant solution is a fully integrated design that comprises thickening, filtration, and dry material handling for the dry stacking of tailings, including all necessary ancillary equipment and systems. This solution is particularly suited to areas where water consumption is a sensitive issue, or where there are strict requirements in terms of the safe operation, management, and eventual closure and rehabilitation of the TSF. Dry stack facilities are also resistant to high levels of seismic activity.",Unfunded,,Local Resources,Emerging,2018,Finland,Mining,TRUE,Outotec,Activity,,
Thickened Tailings Plant,www.outotec.com/products/materials-management/paste-tailings-plant/,"The Outotec Thickened Tailings Plant is designed for the management and storage of tailings from concentrators. Tailings thickening helps to reduce environmental risks and results in less seepage from the TSF. Utilizing Outotec's advanced control systems and thickener optimization technology, the Outotec Thickened Tailings Plant offers stable process performance and consistent underflow density to ensure safe and cost-efficient TSF operation. It also enables the efficient recovery of process water, saves energy by reducing the need for slurry and water pumping, and simplifies mine closure for many applications. In addition to thickeners, the delivery scope for the Outotec Thickened Tailings Plant includes the feed system, overflow and underflow pumping and piping systems, gland water system, flocculant feed system, as well as instrumentation and control systems.",Unfunded,,Local Resources,Emerging,2018,Finland,Mining,TRUE,Outotec,Activity,,
Mobilaris Hybrid Positioning™,https://www.epiroc.com/en-uk/customer-stories/2019/a-disruptive-innovation-that-enables-a-paradigm-shift-in-underground-positioning,"This unique innovation is based upon cutting edge sensor fusion, artificial intelligence, advanced mathematics and allows for self-sustained positioning of a vehicle with 5-10 meters accuracy without any dedicated infrastructure for positioning. It does not require any specialized or costly hardware. Instead, it is designed to run on a standard Android tablet. Our own experience together with testimonials from customers makes us totally convinced that this new disruptive innovation will dramatically change underground mining. Using the Mobilaris Hybrid Positioning™ technology, the new Mobilaris Onboard™ tablet acts just like a GPS enabled car navigator underground – now anyone can navigate to a location or to a moving asset without any specific knowledge about the mine.",Unfunded,,Optimisation,Emerging,2019,USA,Mining,TRUE,Epiroc,Activity,,
Epiroc and 5G,https://www.epiroc.com/en-uk/customer-stories/2019/5g-moves-mining-forward,"A 5G network in mining operations provides:
o   higher capacity, speed and reliability
o   the ability to control devices with extremely short response times
o   the ability to connect many different devices and services simultaneously

Ericsson has set up a local network with 5G technology in Epiroc's test mine in Kvarntorp, Sweden. It is used for telematics as well as remote operations. The test mine is one of the innovation arenas for Epiroc’s development of automation, information management and interoperability solutions. The new type of network was installed already in 2016 and is continuously upgraded to keep pushing the development of tomorrows mining solution forward.",Unfunded,,Optimisation,Distant,2019,Sweden,Mining,TRUE,Epiroc,Activity,,
Normative,https://normative.io/,"A startup that lets companies automate their carbon reporting — and in turn help them decrease their environmental footprint. Billed as wanting to become the “QuickBook of carbon reporting,” Normative is a SaaS that plugs into various data — both a company’s internal systems and external databases on the environmental impact of goods and services. It then automatically calculates carbon usage and emissions for reporting purposes, which is traditionally a time-consuming and costly process. Existing clients include Summa Equity, Bonava and Ikano.",Seed,"2,100,000",Decarbonisation,Distant,2014,Sweden,Alternative,TRUE,,,,
Modular Plant Systems,https://www.gekkos.com/equipment/modular-systems,"Flexible, modular plants are engineered to deliver super-efficient, environmentally friendly recoveries, by cleverly combining Gekko's gravity pre-concentration, flotation and intensive leach technologies. Offering significant cost benefits and a low environmental footprint; Gekko process designers customise self-contained high recovery plants for minimal start-up capital, using high-quality components and in-house expertise. These flexible modular plants are engineered to deliver super-efficient, environmentally friendly recoveries, by cleverly combining Gekko's gravity pre-concentration, flotation and intensive leach technologies. Nowadays it's extremely expensive to build a new processing plant. Modular plant systems offer advantages such as: Low capital costs that are reflected in a higher ROI; Improved cost to recovery ratios; Shipping to remote locations, compact modular systems are mobile and moveable
Quick and easy assembly on site by Gekko
Different modules can be used to customise a specific extraction process
Operational performance, quality and safety are upheld
Module throughputs are 20, 50 and 100 tonnes per hour - other tonnages available upon application
The best combination of modules for a specific operation will be recommended after initial ore testing by Gekko
Small environmental footprint due to the energy efficient design and operation
Off-site construction and pre-assembly by Gekko streamlines installation, commissioning and, therefore, cashflow generation.",Unfunded,,Specialist Services,Existing,,Canada,Mining,TRUE,Gekko,Activity,,
Elode USA,https://www.elodeusa.com/,"ELODE has created the No Heat Sludge Dryer, an Electro-Osmosis Dehydrator (ELODE). Reduce Sludge weight by half in just 3 minutes. Place your already dewatered sludge into our super compact machine and in 3 minutes it will be dehydrated to under half its volume and weight. 

ELODE is 2nd stage dewatering machine made to further reduce water from sludge cake that has been dehydrated by other mechanical dewatering machines such as screw press, belt press, or centrifuge type of presses.  ELODE takes the sludge cake in between two electrically charged surfaces where it instantly starts to pull moisture away from the sludge, resulting in a moisture level far below any mechanical means.",,,Local Resources,Distant,,USA,Mining,FALSE,,,,
Chrysos,http://chrysos.com.au/,"Chrysos offers Real Time Assaying (ore grade testing) using PhotonAssay™ technology. The technology provides rapid, accurate, non-destructive and fully automated analysis of ore grade. It takes a few minutes from sample presentation to result, at a rate of up to 80 samples per hour (50,000 samples per month). It is sensitive, has 2-3x improved accuracy on fire assays, requires minimal sample preparation (crushed rock) and no toxic or caustic reagents are required. It can be applied to a range of other minerals including silver and copper.

The Chrysos PhotonAssay technology uses high intensity X-rays, with its energy some 200 times that of X-ray fluorescence (XRF) based units. The technology has been developed over the past 15 years by CSIRO. RFC Ambrian has acted as the business incubator and provided advisory and fundraising assistance to Chrysos since its inception in 2016.",Undisclosed,,Optimisation,Distant,2016,Pakistan,Mining,TRUE,,,,
NextOre,https://nextore.com.au/,"NextOre is a joint venture between CSIRO, RFC Ambrian, and Advisian Digital formed for the purpose of deploying innovative technologies into the mining and minerals processing sector. NextOre is proud to present its Magnetic Resonance (MR) ore sorting technology, an unparalleled leader in mineral sensing technology. Fitting over industry standard conveyor belts, the MR sensor provides near-instantaneous whole-of-ore grade estimates.  These highly accurate, real-time measurements allow operations to divert waste material, resulting in higher grade and lower tonnage mill feed. NextOre’s industry-leading technology provides measurable efficiency improvements allowing mining companies to take a leap forward in environmental sustainability, site consumption, and unit costs.",Seed,"2,400,000",Optimisation,Distant,2017,Australia,Mining,TRUE,,,,
Spectral Industries,https://www.spectralindustries.com/,"Spectral Industries specialisese in Laser-induced Breakdown Spectroscopy (LIBS): An emission spectroscopy technique that provides an elemental fingerprint of a material sample. Real-time monitoring of any type of material is possible with the SPECTRAL Conveyor Belt LIBS sensor. SPECTRAL’s LIBS sensor can be positioned over any conveyor belt. The sensor measures the full atomic chemical composition of the material passing by on the belt. This setup is ideal for mining applications like monitoring the ore grade in mined material in order to separate ore from waste material. Also, the SPECTRAL Conveyer Belt LIBS sensor can be applied for recycling applications to identify materials one wants to sort out.

Benefits of the SPECTRAL Conveyor Belt LIBS sensor: A measurement takes << 1 ms, allowing for measurement rates up to 1000 Hz;
The sensor works with any belt speed; Flexible sensor configuration allows for tunable working distance between sensor and belt; Captures all elements of the periodic table in one measurement; Detection limits below 1 permille (1000 ppm) are possible.",Seed,"80,000",Optimisation,Distant,2015,Netherlands,Mining,TRUE,,,,
Cassantec (now part of ABB's Ellipse),https://new.abb.com/enterprise-software/asset-optimization-management/ellipse-apm,"Cassantec has developed a prognostic solution that delivers true foresight with an easy-to-use dashboard. Unlike other predictive solutions for industrial assets, Cassantec renders explicit prognoses. Thereby, Cassantec answers the question when impending malfunctions will occur, facilitating optimal maintenance and operations schedules as well as precise remaining lifetime estimations. As a result, customers benefit from reduced cost, via enhanced maintenance planning, and increased revenues, due to higher plant reliability and availability. Cassentec’s solution is now part of ABB’s industry-leading Ellipse® Asset Performance Management (APM) solution, which is a part of the company’s digital enterprise portfolio.",Acquired,,Asset Health,Emerging,2007,Switzerland,Both,TRUE,,,,
SpaceTime Insight (now part of Nokia),https://spacetimeinsight.com/,"SpaceTime Insight provides machine learning-powered analytics and IoT applications for some of the world's largest transportation, energy and utilities organizations, including Entergy, FedEx, NextEra Energy, Singapore Power and Union Pacific Railroad. Its machine learning models and other advanced analytics, designed specifically for asset-intensive industries, predict asset health with a high degree of accuracy and optimize related operations. As a result, SpaceTime Insight's applications help customers reduce cost and risk, increase operational efficiencies, reduce service outages and more.

The acquisition supports Nokia's software strategy by bringing SpaceTime Insight's sales expertise and proven track record in IoT application development, machine learning and data science to the Nokia Software IoT product unit. It will strengthen Nokia's IoT software portfolio and IoT analytics capabilities, and accelerate the development of Nokia's IoT offerings to deliver high-value IoT applications and services to new and existing customers.",Acquired,,Asset Health,Emerging,2007,USA,Alternative,TRUE,,,,
Senseye,https://www.senseye.io/,"Senseye is the leading cloud-based software for Predictive Maintenance. It helps manufacturers avoid downtime and save money by automatically forecasting machine failure without the need for expert manual analysis. Its intelligent machine-learning algorithms allow it to be used on any machine from any manufacturer, taking information from existing Industrial IoT sensors and platforms to automatically diagnose failures and provide the remaining useful life of machinery.",Series A,"4,800,000",Asset Health,Emerging,2014,England,Alternative,TRUE,,,,
Greenwave systems,http://www.greenwavesystems.com/,"Traditional industrial asset optimization is changing, giving way to the Industrial Internet of Things (IIoT). Leading the charge is Greenwave's AXON Predict™ - a real-time, edge analytics solution that embeds directly on devices of all sizes and types, including individual sensors, heavy machinery, and industrial gateways. Many so-called edge analytics solutions don’t truly operate at the edge; instead, they upload terabytes of raw data to your enterprise cloud. This slows down analysis, requires huge investments in infrastructure and security, and obscures the important data. AXON Predict embeds directly on the device and reacts to the constantly varying performance metrics that are most important, even if measurements happen multiple times a second. From there it will learn from and improve its advanced analytic models to deliver better, more accurate insights.",Series C,"101,300,000",Asset Health,Emerging,2008,USA,Alternative,TRUE,,,,
Sentient Science,http://sentientscience.com/,"Sentient Science, a trusted third party, believes that what is best for the rotating equipment Operator is best for the OEM and Supplier. The new business model, Buy on Life, provides the operator improved outcomes across the fleet, asset and components equal to 13 percent of revenues or 1 cent per kWh. We called it DigitalClone Live, which is a Software as a Service (SaaS). We use “small data” from materials science rather than “big data” from sensors, to predict remaining Life and Life Extension of systems like drivetrains, powertrains and components, including blades, bearings and oil. Seven applications targeted from the CEO, CFO and CRO to the asset and maintenance teams are available from three levels of future Life visibility, 0-3 months, 3 months to 5 years, and 5 years to 30 years. We monitor 24x7x365 by executing “always on” computational testing, simulating thousands of test points to accurately predict the life extension of systems and components.",Series B,"41,200,000",Asset Health,Emerging,2001,USA,Alternative,TRUE,,,,
Infoworks,https://www.infoworks.io/,"Infoworks' Enterprise Data Operations and Orchestration (EDO2) system was built to automate and accelerate development, deployment and orchestration of analytics projects at scale, in cloud, hybrid, multi-cloud, and premise-based environments. Through deep automation and a code-free environment, Infoworks empowers organizations to rapidly consolidate and organize enterprise data, create analytics pipelines and deploy projects to production within days – dramatically increasing business agility and accelerating time-to-value. Infoworks counts some of the world’s largest financial, retail, technology, healthcare, oil & gas, and manufacturing companies as its customers.",Series C,"45,000,000",Optimisation,Emerging,2014,USA,Alternative,TRUE,,,,
Dataiku,http://www.dataiku.com/,"Dataiku develops Data Science Studio, the tool that lets data scientists and analysts do machine learning on any (dirty) data. Dataiku is the centralized data platform that moves businesses along their data journey from analytics at scale to enterprise AI. By providing a common ground for data experts and explorers, a repository of best practices, shortcuts to machine learning and AI deployment/management, and a centralized, controlled environment, Dataiku is the catalyst for data-powered companies. 

Customers building predictive maintenance solutions with Dataiku benefit from: The ability to centrally and seamlessly connect to data, wherever it’s stored;
A simple and fast interface for ETL, including interactive data cleaning and integrated advanced processors; AutoML features, including the ability to compare dozens of algorithms directly from the Dataiku interface ( both for supervised and unsupervised tasks); One-click model deployment on the cloud with Kubernetes; Robust model monitoring features to prevent model drift.

Customers like Unilever, GE, and FOX News Group use Dataiku to ensure they are moving quickly and growing exponentially along with the amount of data they’re collecting. By removing roadblocks, Dataiku ensures more opportunity for business-impacting models and creative solutions, allowing teams to work faster and smarter.",Series D,"146,800,000",Asset Health,Emerging,2013,USA,Alternative,TRUE,,,,
